source_commit	split_or_mode	task_id	task_key	relative_task_path	task_meta_present	task_meta_parse_status	task_meta_duplicate_keys	task_meta_field_paths	task_meta_type_map	target_en_present	target_en_char_count	target_zh_present	target_zh_char_count	score_rule_present	task_type_declared	raw_dir_present	raw_file_count	raw_file_types	raw_paths	expected_dir_present	expected_file_count	expected_file_types	expected_paths	eval_py_present	eval_ast_parse_status	eval_line_count	generator_present	multi_input	multi_output	task_id_occurrences_all_modes	duplicate_id_scope	raw_expected_byte_equal_pairs	raw_expected_parsed_equal_pairs	derived_raw_filename_hints	notes
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0001	NL2Dag/T0001_dirty_words_length_filter_space_removal	NL2Dag/T0001_dirty_words_length_filter_space_removal	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	391	true	128	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	56	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0002	NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime	NL2Dag/T0002_jsonl_trim_spaces_dedupe_by_id_latest_updatetime	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	764	true	356	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	94	true	false	false	2	across_modes				directory_name_jsonl_but_raw_expected_csv
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0003	NL2Dag/T0003_latex_filter_length_filter_non_english_filter	NL2Dag/T0003_latex_filter_length_filter_non_english_filter	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	320	true	109	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	64	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0004	NL2Dag/T0004_dedup_bad_words_length_filter	NL2Dag/T0004_dedup_bad_words_length_filter	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	1630	true	1006	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	208	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0005	NL2Dag/T0005_jsonl_filter_url_then_english_only	NL2Dag/T0005_jsonl_filter_url_then_english_only	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	750	true	414	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	131	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0006	NL2Dag/T0006_jsonl_remove_repeated_words_then_minhash_dedupe	NL2Dag/T0006_jsonl_remove_repeated_words_then_minhash_dedupe	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	503	true	161	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	201	true	false	false	2	across_modes				directory_name_jsonl_but_raw_expected_csv
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0007	NL2Dag/T0007_non_text_filter_blank_removal_dirty_words_dedup	NL2Dag/T0007_non_text_filter_blank_removal_dirty_words_dedup	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	500	true	228	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	99	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0008	NL2Dag/T0008_empty_filter_idc_filter	NL2Dag/T0008_empty_filter_idc_filter	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	223	true	60	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	99	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0009	NL2Dag/T0009_jsonl_clean_triple_spaces_urls_non_english	NL2Dag/T0009_jsonl_clean_triple_spaces_urls_non_english	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	1122	true	571	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	111	true	false	false	2	across_modes				directory_name_jsonl_but_raw_expected_csv
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0010	NL2Dag/T0010_csv_standardize_contacts_format_numbers_row_dedupe	NL2Dag/T0010_csv_standardize_contacts_format_numbers_row_dedupe	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	1006	true	463	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	243	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0011	NL2Dag/T0011_reptition_blank_dirty_length_minhash	NL2Dag/T0011_reptition_blank_dirty_length_minhash	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	506	true	276	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	99	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0013	NL2Dag/T0013_jsonl_dedupe_by_id_then_spaces_then_minhash	NL2Dag/T0013_jsonl_dedupe_by_id_then_spaces_then_minhash	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	903	true	413	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	253	true	false	false	2	across_modes				directory_name_jsonl_but_raw_expected_csv
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0014	NL2Dag/T0014_date_format_dedup	NL2Dag/T0014_date_format_dedup	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	389	true	125	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	78	true	false	false	1	none				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0015	NL2Dag/T0015_jsonl_deep_purify_url_english_spaces_minhash	NL2Dag/T0015_jsonl_deep_purify_url_english_spaces_minhash	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	265	true	86	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	139	true	false	false	1	none				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0016	NL2Dag/T0016_ipv4_date_dedup	NL2Dag/T0016_ipv4_date_dedup	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	490	true	193	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	298	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0017	NL2Dag/T0017_jsonl_remove_repeated_words_spaces_idlatest_minhash	NL2Dag/T0017_jsonl_remove_repeated_words_spaces_idlatest_minhash	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	315	true	103	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	131	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0018	NL2Dag/T0018_height_currency	NL2Dag/T0018_height_currency	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	184	true	78	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	64	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0019	NL2Dag/T0019_jsonl_five_step_url_repeatwords_spaces_minhash_idlatest	NL2Dag/T0019_jsonl_five_step_url_repeatwords_spaces_minhash_idlatest	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	240	true	82	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	82	true	false	false	1	none				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0020	NL2Dag/T0020_csv_contacts_standardize_merge_by_composite_key	NL2Dag/T0020_csv_contacts_standardize_merge_by_composite_key	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	317	true	136	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	74	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0021	NL2Dag/T0021_firmware_version_dedup	NL2Dag/T0021_firmware_version_dedup	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	262	true	114	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	99	true	false	false	1	none				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0022	NL2Dag/T0022_csv_format_text_numbers_then_row_dedupe	NL2Dag/T0022_csv_format_text_numbers_then_row_dedupe	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	344	true	106	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	261	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0023	NL2Dag/T0023_digits_dedup_mutilkey_dedup	NL2Dag/T0023_digits_dedup_mutilkey_dedup	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	414	true	135	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	88	true	false	false	2	across_modes				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0024	NL2Dag/T0024_jsonl_light_cleanup_spaces_then_repeatwords	NL2Dag/T0024_jsonl_light_cleanup_spaces_then_repeatwords	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	301	true	95	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	215	true	false	false	2	across_modes				directory_name_jsonl_but_raw_expected_csv
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0027	NL2Dag/T0027_repetition_dirty_dedup	NL2Dag/T0027_repetition_dirty_dedup	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	427	true	227	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	99	true	false	false	1	none				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0028	NL2Dag/T0028_csv_contacts_adv_govern_standardize_numbers_composite_merge	NL2Dag/T0028_csv_contacts_adv_govern_standardize_numbers_composite_merge	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	395	true	210	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	54	true	false	false	1	none				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0034	NL2Dag/T0034_jsonl_strip_html_decode_remove_emoji_filter_blocklist_output_pipe03	NL2Dag/T0034_jsonl_strip_html_decode_remove_emoji_filter_blocklist_output_pipe03	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	381	true	225	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	121	true	false	false	1	none				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0035	NL2Dag/T0035_url_english_words_dedup	NL2Dag/T0035_url_english_words_dedup	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	470	true	180	false		true	1	.jsonl	raw/customers.jsonl	true	1	.jsonl	expected/gt.jsonl	true	OK	99	true	false	false	1	none				
f023ec4b754555000a659b93fd514645c55e3cec	NL2Dag	T0038	NL2Dag/T0038_dates_dedup	NL2Dag/T0038_dates_dedup	true	OK		$|$.target_en|$.target_zh	$:object|$.target_en:string|$.target_zh:string	true	628	true	269	false		true	1	.csv	raw/customers.csv	true	1	.csv	expected/gt.csv	true	OK	77	true	false	false	1	none				
